"Nom de la breloque";"Rang";"Description";"Ensemble lié";"Tag";"Bonus conditionnel minimum";"incrément";"Bonus conditionnel maximum";"Type d'input";"Bonus par défaut"
"Breloque du Rixeur Instable";"Maître ?";"Augmente de 30% les dommages occasionnés en mêlée, mais téléporte aléatoirement au début du tour, un tour sur deux.";"Ensemble du Pugiliste";"Dégâts + Mobilité";"dommages finaux mêlée x1.3";;"dommages finaux mêlée x1.3";"toggle";"dommages finaux mêlée x1.3"
"Breloque du Rixeur Instable";"Maître ?";"Augmente de 30% les dommages occasionnés en mêlée, mais téléporte aléatoirement dans un rayon de 6 cases au début de chaque tour.";"Ensemble du Pugiliste";"Dégâts + Mobilité";"dommages finaux mêlée x1.3";;"dommages finaux mêlée x1.3";"toggle";"dommages finaux mêlée x1.3"
"Breloque du Rixeur Instable";"Novice";"Augmente de 15% les dommages occasionnés en mêlée, mais téléporte aléatoirement au début de chaque tour.";"Ensemble du Pugiliste";"Dégâts + Mobilité";"dommages finaux mêlée x1.15";;"dommages finaux mêlée x1.15";"toggle";"dommages finaux mêlée x1.15"
"Breloque du Sprinteur";"Expert";"Octroie 2 PM supplémentaires 1 tour sur 2 et retire 1 Pm le tour suivant.";;"Mobilité";"0";"2";"2PM";"toggle";"2PM"
"Breloque du Sprinteur";"Maître ?";"Octroie 3 PM supplémentaires 1 tour sur 2 et retire 1 PM le tour suivant.";;"Mobilité";"0";"3";"3PM";"toggle";"3PM"
"Breloque du Sprinteur";"Maître ?";"Octroie 2 PM supplémentaires 1 tour Sur 2.";;"Mobilité";"0";"2";"2PM";"toggle";"2PM"
"Breloque du Sprinteur";"Novice";"Octroie 1 PM supplémentaire 1 tour sur 2 et retire 1 PM le tour suivant.";;"Mobilité";"0";"1";"1PM";"toggle";"1PM"
"Breloque du Stratège d'avant-garde";"Expert";"Applique un bonus de 40 Coups critiques pour 2 tours au début du combat.";"Ensemble du Chanceux";"Dégâts";"0";"40%";"40% Critique";"toggle";"40% Critique"
"Breloque du Stratège d'avant-garde";"Maître ?";"Applique un bonus de 50 Coups critiques pour 3 tours au début du combat.";"Ensemble du Chanceux";"Dégâts";"0";"50%";"50% critique";"toggle";"50% Critique"
"Breloque du Stratège d'avant-garde";"Maître ?";"Applique un bonus de 80 Coups critiques pour 2 tours au début du combat.";"Ensemble du Chanceux";"Dégâts";"0";"80%";"80% Critique";"toggle";"80% Critique"
"Breloque du Stratège d'avant-garde";"Novice";"Applique un bonus de 30 Coups critiques pour 2 tours au début du combat.";"Ensemble du Chanceux";"Dégâts";"0";"30%";"30% critique";"toggle";"30% Critique"
"Breloque du Tireur d'élite";"Expert";"Le porteur bénéficie d'une augmentation de ses dommages occasionnés à distance de 15%, mais ses dommages occasionnés en mêlée sont réduits de 15%.";;"Dégâts";"dommages finaux distance x1.15, dommages finaux mêlée x0.8";;"dommages finaux distance x1.15, dommages finaux mêlée x0.8";"toggle";"dommages finaux distance x1.15, dommages finaux mêlée x0.8"
"Breloque du Tireur d'élite";"Maître ?";"Le porteur bénéficie d'une augmentation de ses dommages occasionnés à distance de 20%, mais ses dommages occasionnés en mêlée sont réduits de 10%.";;"Dégâts";"dommages finaux distance x1.2, dommages finaux mêlée x0.9";;"dommages finaux distance x1.2, dommages finaux mêlée x0.9";"toggle";"dommages finaux distance x1.2, dommages finaux mêlée x0.9"
"Breloque du Tireur d'élite";"Maître ?";"Le porteur bénéficie d'une augmentation de ses dommages occasionnés à distance de 30%, mais ses dommages occasionnés en mêlée sont réduits de 30%.";;"Dégâts";"dommages finaux distance x1.3, dommages finaux mêlée x0.7";;"dommages finaux distance x1.3, dommages finaux mêlée x0.7";"toggle";"dommages finaux distance x1.3, dommages finaux mêlée x0.7"
"Breloque du Tireur d'élite";"Novice";"Le porteur bénéficie d'une augmentation de ses dommages occasionnés à distance de 10%, mais ses dommages occasionnés en mêlée sont réduits de 20%.";;"Dégâts";"dommages finaux distance x1.1, dommages finaux mêlée x0.8";;"dommages finaux distance x1.1, dommages finaux mêlée x0.8";"toggle";"dommages finaux distance x1.1, dommages finaux mêlée x0.8"
"Breloque du Visionnaire d'avant-garde";"Expert";"Applique un bonus de 3 PO pour 2 tours au début du combat.";;"Bonus PA/PO";"0";"3";"3PO";"toggle";"3PO"
"Breloque du Visionnaire d'avant-garde";"Maître ?";"Applique un bonus de 5 PO pour 2 tours au début du combat.";;"Bonus PA/PO";"0";"5";"5PO";"toggle";"5PO"
"Breloque du Visionnaire d'avant-garde";"Maître ?";"Applique un bonus de 3 PO pour 3 tours au début du combat.";;"Bonus PA/PO";"0";"3";"3PO";"toggle";"3PO"
"Breloque du Visionnaire d'avant-garde";"Novice";"Applique un bonus de 2 PO pour 1 tour au début du combat.";;"Bonus PA/PO";"0";"2";"2PO";"toggle";"2PO"
"Breloque du Voile Sacré";"Expert";"A chaque tour, réduit le premier dégât reçu de 50%.";;"Soin - Protection";;;;;
"Breloque du Voile Sacré";"Maître ?";"A chaque tour, annule le premier dégât reçu";;"Soin - Protection";;;;;
"Breloque du Voile Sacré";"Maître ?";"A chaque tour, réduit les 3 premiers dégâts reçus de 50%.";;"Soin - Protection";;;;;
"Breloque du Voile Sacré";"Novice";"A chaque tour, réduit le premier dégât reçu de 25%.";;"Soin - Protection";;;;;
"Charme troublant d'Ambra";"Unique";"Les ennemis se trouvant dans un cercle de deux cases ou moins du porteur occasionnent 20% de dommages finaux en moins. ";"Ensemble de la Grande Pécheresse";"Breloque boss + Soin - Protection";;;;;
"Collecte de Misère";"Unique";"Au début du tour, le porteur vole 50 puissance pour 1 tour à chaque ennemi dans un cercle de deux cases autour de lui.";"Ensemble de Misère";"Breloque boss + Dégâts";"0";"50 puissance";"300 puissance";"bouton accumulateur";"0"
"Couvée du Hululord";"Unique";"Lorsque le porteur reçoit des soins, il augmente définitivement ses chances de Coup Critique et celles de ses alliés.";"Ensemble du Hululord";"Breloque boss + Dégâts";;;;;
"Embrasement du Katragon";"Unique";"À chaque fois qu'il reçoit des dégâts, le lanceur augmente ses dommages finaux de 4%. Le bonus se réinitialise après 5 activations.";"Ensemble du Katragon";"Breloque boss + Dégâts";"0";"4%";"20%";"range";"0"
"Emprise de Servitude";"Unique";"Lorsque le porteur subit des dommages d'un ennemi, ce dernier est téléporté à sa position précédente.";"Ensemble de Servitude";"Breloque boss + Bonus Divers";;;;;
"Noirceur latente de la Silhouette d'Ombre";"Unique";"Lorsqu'il est déplacé ou téléporté, le porteur gagne 50 Puissance pour 2 tours. 3 Déclenchements maximum par tour.";"Ensemble de la silhouette d'Ombre";"Breloque boss + Dégâts";"0";"50 puissance";"300 puissance";"bouton accumulateur";"0"
"Pestilence du Toxoliath";"Unique";"Lorsqu'il est attaqué, le porteur applique un poison occasionnant des dommages dans chaque élément pour chaque PM utilisé à son attaquant.";"Ensemble du Toxoliath";"Breloque boss + Dégâts";;;;;
"Protection du Craqdoa";"Unique";"Applique un bouclier au porteur et ses alliés au début de chaque tour.";"Ensemble du Craqdoa";"Breloque boss + Soin - Protection";;;;;
"Proximité étouffante du Phossile";"Unique";"À la fin de chaque tour, le lanceur pose un glyphe qui retire des PM aux monstres et leur occasionne des dommages s'ils terminent leur tour dedans.";"Ensemble du Phossile";"Breloque boss + Dégâts + Entrave";;;;;
"Puanteur de Corruption";"Unique";"À la fin de chacun de ses tours, le porteur applique un poison dans son meilleur élément d'attaques aux adversaires dans un cercle de deux cases autour de lui.";"Ensemble de Corruption";"Breloque boss + Dégâts";;;;;
"Putréfaction de Kabahal";"Unique";"Au début de son tour, le porteur occasionne 10% de ses points de vie manquants sous forme de dégâts neutre aux adversaires sur lesquels il possède une ligne de vue.";"Ensemble de Kabahal";"Breloque boss + Dégâts";;;;;
"Siphon du Ch'Tyx";"Unique";"À la fin de son tour, le porteur attire l'ensemble des ennemis sur lesquels il possède une ligne de vue vers lui. Les cibles qui se retrouvent bloquées subissent des dégâts.";"Ensemble du Ch'Tyx";"Breloque boss + Dégâts";;;;;
